DATE,CRIME_COUNT,ROLLING_MEAN_3,ROLLING_STD_3,GROWTH_RATE,LAG_1,LAG_2,LAG_3,VOLATILITY
1999-04-01,4002,3647.3333333333335,353.01180339095373,0.09824368825466512,3644.0,3296.0,4089.0,0.09678627400592772
1999-05-01,4386,4010.6666666666665,371.07591316782253,0.09595202398800606,4002.0,3644.0,3296.0,0.09252225228586002
1999-06-01,4207,4198.333333333333,192.146645386625,-0.04081167350661197,4386.0,4002.0,3644.0,0.045767362934487896
1999-07-01,3850,4147.666666666667,272.88153717929237,-0.08485856905158073,4207.0,4386.0,4002.0,0.06579157852108632
1999-08-01,4008,4021.6666666666665,178.8919599460346,0.041038961038960986,3850.0,4207.0,4386.0,0.0444820455729883
1999-09-01,3733,3863.6666666666665,138.00845384734149,-0.06861277445109781,4008.0,3850.0,4207.0,0.035719554960057326
1999-10-01,4206,3982.3333333333335,237.54227693893503,0.12670774176265742,3733.0,4008.0,3850.0,0.05964901906895497
1999-11-01,3653,3864.0,298.8695367547525,-0.13147883975273422,4206.0,3733.0,4008.0,0.07734718860112642
1999-12-01,3670,3843.0,314.4821139588075,0.004653709280043827,3653.0,4206.0,3733.0,0.08183245224012685
2000-01-01,3470,3597.6666666666665,110.88883322198723,-0.05449591280653954,3670.0,3653.0,4206.0,0.03082243117446138
2000-02-01,3440,3526.6666666666665,125.03332889007507,-0.008645533141210415,3470.0,3670.0,3653.0,0.035453684940474975
2000-03-01,3935,3615.0,277.53378172755896,0.14389534883720922,3440.0,3470.0,3670.0,0.07677283035340497
2000-04-01,3833,3736.0,261.3675572828432,-0.025921219822109265,3935.0,3440.0,3470.0,0.06995919627485096
2000-05-01,3790,3852.6666666666665,74.47370900749915,-0.01121836681450561,3833.0,3935.0,3440.0,0.0193304314779804
2000-06-01,3579,3734.0,135.94484175576622,-0.05567282321899736,3790.0,3833.0,3935.0,0.036407295596080934
2000-07-01,3664,3677.6666666666665,106.16182615862282,0.023749650740430228,3579.0,3790.0,3833.0,0.028866625439669034
2000-08-01,4032,3758.3333333333335,240.7827513202173,0.10043668122270732,3664.0,3579.0,3790.0,0.06406636398764097
2000-09-01,4232,3976.0,288.1110896859061,0.04960317460317465,4032.0,3664.0,3579.0,0.07246254770772287
2000-10-01,4207,4157.0,108.97247358851797,-0.005907372400756117,4232.0,4032.0,3664.0,0.026214210629905695
2000-11-01,3914,4117.666666666667,176.82288690476022,-0.06964582838126931,4207.0,4232.0,4032.0,0.04294249661736264
2000-12-01,3701,3940.6666666666665,254.05183198184932,-0.054420030659172225,3914.0,4207.0,4232.0,0.06446925189862528
2001-01-01,3573,3729.3333333333335,172.25659155264267,-0.03458524723047829,3701.0,3914.0,4207.0,0.04618964735948588
2001-02-01,3177,3483.6666666666665,273.18369887922296,-0.11083123425692698,3573.0,3701.0,3914.0,0.07841843810522141
2001-03-01,3567,3439.0,226.91848756767394,0.12275731822474034,3177.0,3573.0,3701.0,0.06598385797257166
2001-04-01,3549,3431.0,220.15449121015132,-0.005046257359125339,3567.0,3177.0,3573.0,0.06416627549115457
2001-05-01,3663,3593.0,61.28621378418312,0.03212172442941674,3549.0,3567.0,3177.0,0.017057114885661875
2001-06-01,3482,3564.6666666666665,91.51138362703256,-0.04941304941304936,3663.0,3549.0,3567.0,0.02567179267636971
2001-07-01,3384,3509.6666666666665,141.54269085097226,-0.028144744399770216,3482.0,3663.0,3549.0,0.04032938289988763
2001-08-01,3529,3465.0,73.9797269527305,0.04284869976359329,3384.0,3482.0,3663.0,0.021350570549128572
