DATE,CRIME_COUNT,ROLLING_MEAN_3,ROLLING_STD_3,GROWTH_RATE,LAG_1,LAG_2,LAG_3,VOLATILITY,ANOMALY,ANOMALY_SCORE
1999-04-01,4002,3647.3333333333335,353.01180339095373,0.0982436882546651,3644.0,3296.0,4089.0,0.0967862740059277,1,-0.0035845627296791083
1999-05-01,4386,4010.6666666666665,371.0759131678225,0.095952023988006,4002.0,3644.0,3296.0,0.09252225228586,1,-0.04371915503467583
1999-06-01,4207,4198.333333333333,192.146645386625,-0.0408116735066119,4386.0,4002.0,3644.0,0.0457673629344878,1,-0.008634368459742303
1999-07-01,3850,4147.666666666667,272.8815371792924,-0.0848585690515807,4207.0,4386.0,4002.0,0.0657915785210863,1,-0.005159069253499293
1999-08-01,4008,4021.6666666666665,178.8919599460346,0.0410389610389609,3850.0,4207.0,4386.0,0.0444820455729883,0,0.00118704820865001
1999-09-01,3733,3863.6666666666665,138.00845384734149,-0.0686127744510978,4008.0,3850.0,4207.0,0.0357195549600573,0,0.04899650434733316
1999-10-01,4206,3982.3333333333335,237.54227693893503,0.1267077417626574,3733.0,4008.0,3850.0,0.0596490190689549,0,0.042153370793826084
1999-11-01,3653,3864.0,298.8695367547525,-0.1314788397527342,4206.0,3733.0,4008.0,0.0773471886011264,0,0.04094967494546242
1999-12-01,3670,3843.0,314.4821139588075,0.0046537092800438,3653.0,4206.0,3733.0,0.0818324522401268,0,0.028214979581652422
2000-01-01,3470,3597.6666666666665,110.88883322198724,-0.0544959128065395,3670.0,3653.0,4206.0,0.0308224311744613,0,0.0749447670698925
2000-02-01,3440,3526.6666666666665,125.03332889007508,-0.0086455331412104,3470.0,3670.0,3653.0,0.0354536849404749,0,0.12324784750318113
2000-03-01,3935,3615.0,277.53378172755896,0.1438953488372092,3440.0,3470.0,3670.0,0.0767728303534049,0,0.07870280196925894
2000-04-01,3833,3736.0,261.3675572828432,-0.0259212198221092,3935.0,3440.0,3470.0,0.0699591962748509,0,0.08044211477370822
2000-05-01,3790,3852.6666666666665,74.47370900749915,-0.0112183668145056,3833.0,3935.0,3440.0,0.0193304314779804,0,0.03813216111230899
2000-06-01,3579,3734.0,135.94484175576622,-0.0556728232189973,3790.0,3833.0,3935.0,0.0364072955960809,0,0.09402233785451014
2000-07-01,3664,3677.6666666666665,106.16182615862282,0.0237496507404302,3579.0,3790.0,3833.0,0.028866625439669,0,0.09761951829194787
2000-08-01,4032,3758.3333333333335,240.7827513202173,0.1004366812227073,3664.0,3579.0,3790.0,0.0640663639876409,0,0.0866046392221011
2000-09-01,4232,3976.0,288.1110896859061,0.0496031746031746,4032.0,3664.0,3579.0,0.0724625477077228,0,0.036172797554872904
2000-10-01,4207,4157.0,108.97247358851796,-0.0059073724007561,4232.0,4032.0,3664.0,0.0262142106299056,1,-0.001780572312975126
